SP,DC,TIME
55,118,213
35,141,250
14,175,238
69,105,259
84,186,269
71,108,231
9,100,219
1,130,298
43,101,230
17,157,287
46,176,277
14,163,264
31,157,260
13,103,230
10,175,296
100,130,254
23,199,274
7,142,212
32,191,241
28,170,239
42,108,246
87,184,278
100,195,267
65,131,233
98,177,261
100,132,231
56,197,282
15,167,218
70,124,221
96,134,242
36,100,259
15,181,271
22,158,274
31,158,270
22,164,261
21,154,239
85,118,286
50,152,222
67,158,254
84,158,260
78,181,216
2,110,291
5,109,289
50,113,279
88,198,232
100,185,282
27,151,249
14,199,282
6,184,230
9,198,234
24,100,221
98,159,238
20,112,213
28,166,267
63,150,287
86,159,217
81,172,297
14,191,252
2,104,285
49,156,255
19,185,221
1,114,293
79,138,285
52,111,230
26,121,252
19,180,202
79,165,216
51,165,223
62,108,234
70,144,286
19,147,254
21,185,271
55,106,247
7,130,287
68,120,211
43,166,239
54,120,222
49,118,246
47,164,222
7,125,218
8,152,297
7,127,283
90,195,297
13,120,251
85,174,296
80,177,272
78,106,252
10,158,253
30,136,204
35,186,296
54,148,247
57,170,287
34,112,262
73,112,228
16,170,266
15,182,239
26,193,219
30,155,282
4,117,270
18,102,291
88,139,208
48,129,297
20,194,294
96,181,283
22,185,215
77,167,250
43,145,272
35,152,217
24,196,285
69,191,252
88,137,208
58,192,283
53,166,231
54,174,206
48,121,285
63,116,239
97,175,252
30,187,298
78,173,200
52,139,256
47,165,298
0,144,239
41,185,234
93,144,251
91,169,279
48,190,212
98,116,283
38,127,209
49,121,220
52,114,279
6,190,225
99,154,272
74,155,205
94,174,289
8,175,263
53,197,212
58,162,274
79,170,263
52,156,242
30,182,261
72,150,246
23,157,249
95,175,232
1,113,257
99,170,227
62,137,282
68,169,206
74,190,209
81,166,216
98,164,300
62,181,263
30,185,233
53,124,208
25,146,249
12,152,277
15,190,260
94,141,232
75,180,276
21,129,219
3,146,243
93,167,201
72,127,239
15,121,218
10,143,293
79,199,278
32,195,268
55,187,275
5,184,254
55,191,225
2,152,272
6,142,291
20,138,223
44,171,296
88,117,243
48,133,200
86,103,239
16,190,275
99,164,251
18,147,204
61,200,255
100,113,219
64,183,221
45,116,219
74,103,214
18,161,208
17,181,226
38,136,248
45,165,256
92,138,250
32,177,221
32,103,278
89,185,246
55,103,217
22,197,220
89,103,240
68,165,238
66,158,264
35,105,263
63,193,264
32,195,287
76,180,258
57,161,257
99,199,249
44,100,217
3,131,280
46,117,238
41,180,217
99,167,271
99,188,213
56,153,211
15,184,293
21,125,283
2,197,248
96,107,259
16,105,278
78,195,257
17,109,264
52,168,235
47,158,260
1,140,239
68,147,279
62,164,280
29,136,292
4,129,267
18,181,226
67,108,204
10,157,260
9,199,215
49,110,230
48,170,215
8,155,288
22,149,214
20,109,262
92,179,270
0,104,252
36,164,248
91,176,216
48,115,226
79,145,271
29,117,203
75,127,216
10,187,229
50,182,248
43,128,234
61,194,242
60,161,251
65,137,277
100,113,295
52,101,212
6,130,226
40,139,244
33,151,214
95,199,285
25,154,237
6,148,248
21,130,224
62,109,246
86,121,272
56,125,271
74,124,270
89,160,251
55,118,235
41,105,270
90,183,206
4,114,253
72,100,294
2,199,274
25,151,271
38,139,231
37,114,202
79,164,201
33,165,287
21,198,299
15,124,200
81,166,220
16,198,222
38,144,212
57,171,236
46,178,270
87,175,210
27,148,232
32,195,245
17,143,258
56,199,274
88,112,214
87,105,296
86,157,259
7,129,260
89,152,274
73,122,249
63,122,300
18,149,258
66,173,218
92,188,254
51,140,205
38,105,262
84,171,295
45,142,289
92,148,259
91,139,225
51,163,272
95,145,211
74,196,217
86,154,295
34,190,219
76,128,261
32,173,257
9,176,244
44,151,268
38,128,205
62,110,260
83,109,208
5,195,216
88,139,210
34,189,282
14,157,248
59,190,232
76,136,279
10,157,221
22,194,289
41,101,285
14,137,277
10,168,214
43,185,229
80,100,241
90,195,278
22,145,284
66,109,221
70,145,278
84,106,285
38,195,269
62,176,271
73,173,236
25,139,201
28,105,260
38,162,207
32,181,232
64,122,221
81,199,281
2,106,208
82,113,203
46,177,235
77,135,252
58,164,284
17,137,284
93,129,282
83,139,242
63,123,279
95,152,231
33,129,213
61,124,233
51,146,260
62,190,297
29,109,250
49,110,236
98,139,233
56,164,265
31,100,282
38,154,289
92,103,280
31,198,258
85,102,211
12,138,236
7,200,253
31,141,252
60,188,260
13,128,272
60,185,265
74,112,236
47,140,201
42,133,269
99,127,284
59,101,270
53,134,222
49,184,258
32,193,285
90,167,272
91,192,201
5,145,246
64,181,274
63,147,233
96,131,257
29,175,240
100,127,296
87,162,270
30,191,287
36,153,239
61,126,227
56,193,210
59,122,209
14,107,223
20,190,249
19,190,271
61,115,262
72,133,271
38,166,240
38,193,201
88,141,294
78,145,297
52,112,214
63,191,296
38,152,230
1,106,293
91,176,284
83,116,238
23,122,234
82,178,260
38,144,204
61,175,219
34,165,222
79,113,286
94,112,282
23,137,300
69,173,243
24,182,203
48,186,289
63,120,236
41,115,238
11,123,285
22,170,214
73,192,234
85,156,202
40,148,236
92,198,234
73,152,294
81,130,201
3,194,214
92,149,218
24,102,227
49,133,278
41,152,238
